price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury
1.0,4.0,110.0,0.0,1.0,0.6,2.0,2.0,3,1043.2,1,0,0,1,0,2
3.0,3.0,75.0,0.0,3.0,3.79,5.0,5.0,3,3064.0,0,1,0,0,1,2
1.0,3.0,167.0,0.0,2.0,1.48,3.0,3.0,3,1240.00128,0,1,0,0,0,2
1.0,0.0,88.0,0.0,2.0,1.26,2.0,2.0,3,1252.0,1,0,0,0,0,2
3.0,0.0,96.0,1.0,2.0,13.5,5.0,5.0,2,4520.0,1,1,0,0,1,0
2.0,3.0,145.0,0.0,3.0,4.85,4.0,4.0,3+,3300.0,1,1,1,1,0,0
3.0,3.0,148.0,0.0,2.0,1.2,2.0,2.0,3,750.0,0,0,0,0,0,1
2.0,3.0,164.0,0.0,3.0,2.22,3.0,4.0,3+,2128.0,0,1,0,0,0,0
1.0,1.0,78.0,0.0,1.0,3.21,3.0,3.0,3,2016.0,0,0,0,0,0,2
3.0,3.0,71.0,0.0,3.0,3.0,4.0,5.0,3+,1631.053767,0,1,0,0,0,1
2.0,0.0,125.0,0.0,3.0,2.65,3.0,4.0,3,1801.1018592,0,1,0,1,0,0
3.0,1.0,181.0,0.0,2.0,0.59,2.0,2.0,3,1001.7315896,0,0,0,0,1,2
3.0,1.0,66.0,0.0,2.0,0.22,1.0,2.0,2,301.28156099999995,0,0,0,0,0,2
1.0,3.0,177.0,0.0,3.0,1.6,3.0,4.0,3+,1476.0,0,1,0,0,1,0
1.0,3.0,177.0,0.0,2.0,1.6,3.0,3.0,3,1450.0,0,1,0,0,0,0
0.0,3.0,154.0,0.0,2.0,6.5,4.0,4.0,3+,3400.0,1,1,0,1,0,2
3.0,1.0,165.0,1.0,1.0,4.7,3.0,3.0,3+,2163.0,0,1,0,0,0,2
1.0,3.0,175.0,0.0,3.0,1.21,3.0,3.0,3+,1930.0,0,1,0,1,0,2
1.0,3.0,167.0,0.0,3.0,1.25,3.0,2.0,1,1461.9959536,1,1,1,1,0,1
3.0,1.0,105.0,0.0,2.0,1.5,2.0,2.0,3+,1385.0,0,0,0,0,0,2
2.0,1.0,181.0,0.0,2.0,1.32,3.0,5.0,3,1500.0,0,1,0,0,0,2
1.0,3.0,152.0,0.0,1.0,1.55,3.0,3.0,3,1400.0,1,1,0,1,1,2
1.0,4.0,177.0,0.0,0.0,0.7,2.0,2.0,3,1076.0,1,0,0,0,0,2
0.0,0.0,153.0,0.0,2.0,1.12,3.0,4.0,3,1441.6,0,1,0,0,0,2
2.0,3.0,77.0,0.0,2.0,5.31,4.0,6.0,3+,3400.0,0,1,0,1,0,2
3.0,0.0,174.0,0.0,0.0,1.2,4.0,3.0,2,1800.0,0,0,0,0,0,0
3.0,1.0,130.0,1.0,0.0,2.25,3.0,3.0,3,1400.0,0,1,0,0,0,0
1.0,0.0,134.0,0.0,3.0,1.71,3.0,3.0,3+,2250.0,0,1,0,0,0,0
2.0,3.0,69.0,0.0,1.0,1.32,4.0,5.0,3+,1403.0,0,1,0,0,0,2
1.0,3.0,65.0,0.0,3.0,1.33,3.0,3.0,3+,1550.0,1,0,0,0,0,2
1.0,2.0,134.0,0.0,1.0,1.55,3.0,3.0,3,1600.0,0,1,0,0,0,0
0.0,3.0,149.0,0.0,0.0,1.0,4.0,3.0,0,1826.15,0,0,0,0,0,2
3.0,2.0,126.0,1.0,1.0,3.5,5.0,4.0,2,2368.0,0,0,0,1,1,2
1.0,0.0,88.0,0.0,1.0,0.4,1.0,1.0,1,465.0,0,0,0,0,0,0
3.0,2.0,96.0,1.0,0.0,4.45,4.0,4.0,3,1345.0,0,0,0,0,0,2
1.0,3.0,182.0,0.0,0.0,1.5,4.0,3.0,3+,1650.0,0,0,0,0,0,0
2.0,3.0,131.0,0.0,1.0,7.4,4.0,4.0,3,2229.0,0,0,0,0,0,2
2.0,0.0,29.0,0.0,1.0,0.38,1.0,1.0,1,499.2000000000001,0,0,0,0,0,2
3.0,3.0,177.0,0.0,0.0,0.5,3.0,3.0,2,944.0,0,0,0,0,0,2
1.0,0.0,167.0,0.0,3.0,0.84,2.0,2.0,2,996.0,0,0,0,0,0,0
2.0,2.0,69.0,0.0,3.0,1.35,4.0,3.0,3,1510.0,0,1,0,0,0,2
3.0,3.0,121.0,1.0,3.0,17.0,5.0,8.0,3+,4499.0,1,1,1,1,0,1
1.0,3.0,134.0,0.0,1.0,2.05,4.0,4.0,3,1950.0,0,1,0,0,1,0
3.0,2.0,95.0,1.0,2.0,13.5,5.0,6.0,3+,3616.0,0,0,0,0,1,0
3.0,2.0,74.0,1.0,0.0,0.45,3.0,2.0,1,560.0,0,0,0,0,0,2
2.0,3.0,165.0,0.0,3.0,0.89,2.0,2.0,2,1000.0,1,0,0,0,0,0
3.0,1.0,173.0,0.0,3.0,1.33,3.0,3.0,3,783.0,1,0,0,0,0,2
2.0,3.0,156.0,0.0,3.0,1.55,2.0,2.0,3+,1124.0,0,0,0,0,1,2
1.0,1.0,164.0,0.0,3.0,2.4,3.0,4.0,3+,2128.0,1,1,0,0,0,0
3.0,2.0,95.0,1.0,1.0,4.25,3.0,2.0,3,1345.0,1,0,0,0,0,2
2.0,3.0,70.0,0.0,1.0,0.28,2.0,2.0,2,489.0,0,0,0,0,0,2
3.0,3.0,144.0,0.0,0.0,3.2,4.0,3.0,2,1750.0,0,1,0,0,0,2
0.0,3.0,64.0,0.0,1.0,1.2,2.0,2.0,3,824.0,0,0,0,0,0,2
2.0,3.0,151.0,0.0,1.0,1.75,3.0,4.0,2,1950.078,0,1,0,1,0,2
0.0,1.0,79.0,0.0,0.0,0.6,2.0,2.0,1,720.0,0,0,0,1,0,1
3.0,3.0,169.0,0.0,1.0,2.13,4.0,4.0,3,2200.0,0,0,0,0,0,2
3.0,3.0,150.0,0.0,2.0,0.54,2.0,2.0,1,900.0,0,0,0,0,0,2
3.0,3.0,95.0,1.0,2.0,7.3,9.0,9.0,2,5200.0,0,1,1,0,0,0
1.0,3.0,167.0,0.0,3.0,1.73,3.0,3.0,3,1240.00128,0,1,0,0,0,0
1.0,3.0,69.0,0.0,3.0,1.25,3.0,4.0,3+,1130.0,1,1,0,0,0,2
1.0,3.0,144.0,0.0,3.0,1.73,3.0,3.0,3,1116.0,0,1,0,0,0,1
2.0,3.0,164.0,0.0,3.0,2.25,3.0,3.0,3+,1705.6,0,1,0,0,0,1
1.0,3.0,167.0,0.0,1.0,1.4,4.0,4.0,3,1950.0,0,1,0,0,0,2
3.0,0.0,150.0,1.0,1.0,1.16,5.0,4.0,2,992.0,0,0,0,0,1,2
2.0,4.0,78.0,0.0,1.0,2.0,3.0,3.0,2,1332.0,0,0,0,0,0,2
2.0,3.0,170.0,0.0,2.0,1.4,4.0,4.0,3+,1884.8,0,1,0,1,0,2
0.0,3.0,70.0,0.0,0.0,1.15,2.0,2.0,3,1056.0,1,0,0,0,0,2
3.0,3.0,111.0,0.0,1.0,1.36,3.0,3.0,3,1537.418,0,0,0,1,1,2
3.0,3.0,65.0,0.0,3.0,1.35,3.0,3.0,3+,1432.0,1,0,0,0,0,0
2.0,3.0,149.0,0.0,0.0,0.6,2.0,1.0,1,526.0,0,0,0,0,0,2
3.0,0.0,118.0,1.0,0.0,1.65,1.0,1.0,0,1194.36,0,0,0,0,0,2
3.0,3.0,99.0,0.0,0.0,0.26,2.0,1.0,2,530.0,0,0,0,0,0,2
3.0,2.0,95.0,1.0,2.0,10.5,4.0,4.0,2,3582.0,0,1,0,1,0,0
